indicator,IC_1,IC_2,IC_3,IC_5,IC_8,IC_13,IC_21,IC_34,IC_50,peak_horizon,IC_peak,half_life
VWMA_20,-0.019826005654177612,-0.025621145597555486,-0.03230604322520021,-0.04405258759694582,-0.05751890522959207,-0.07564651224578735,-0.09627846413651324,-0.11871122910451334,-0.1419404885011586,50.0,-0.1419404885011586,nan
EMA_cross_9_21,-0.009353454658032615,-0.012983687288568052,-0.01616079244805071,-0.022082524384467853,-0.028854890135822066,-0.037498053680745554,-0.04699376829097669,-0.045625579094042225,-0.04165812765189165,21.0,-0.04699376829097669,nan
DPO_20,0.012882499900132911,0.013467044808121841,0.015584553418056495,0.01932200659419262,0.023755632724931797,0.02875935406658843,0.042604615026230336,0.04456102650476953,0.034833972858226155,34.0,0.04456102650476953,nan
GapSize,0.0017994601982415934,0.0044558955431246074,0.007401556805501895,0.01624339586428601,0.023071184809170354,0.029848090566699462,0.040800666850029185,0.036398423465820555,0.02309586261133551,21.0,0.040800666850029185,nan
TSI,0.009261961486822146,0.011898350261062084,0.014347858198398919,0.018491210157559595,0.023610995314779337,0.030110444669058344,0.04006066933184608,0.03927348541196216,0.03409998539892061,21.0,0.04006066933184608,nan
PricePercentile,0.016296159922697336,0.015524739195153174,0.017280258332385685,0.02090391663172935,0.025425368407248416,0.02973383787303911,0.036275159488902205,0.038861570307031836,0.03439052019861033,34.0,0.038861570307031836,nan
LinRegSlope_20,0.0071726823036771395,0.010198739973792465,0.011801484877476457,0.012868885103867174,0.014154068310415132,0.01701884256195424,0.03231499425161458,0.038133819836139164,0.02699677797016175,34.0,0.038133819836139164,nan
NormATR_14,-0.0059875365271646885,-0.006719864755604795,-0.01000249184928217,-0.016474000229960133,-0.023823468791645108,-0.029216125388695023,-0.03633051288759521,-0.03778870697426226,-0.03503635826874517,34.0,-0.03778870697426226,nan
CoppockCurve,-0.006130922155451421,-0.009062200168931762,-0.010791051772420656,-0.012739338387524732,-0.014590337665019586,-0.017056777225520674,-0.0316040152123028,-0.037744720669333404,-0.026160009930867905,34.0,-0.037744720669333404,nan
WeeklyRSI_14,0.013185318299021911,0.013737580193199978,0.0167631158203534,0.021274220059575872,0.02659978943350966,0.03223010517019036,0.03730644810509451,0.037620536407689496,0.03456276363176788,34.0,0.037620536407689496,nan
Aroon_25,0.004234194815039702,0.006625364696105096,0.009248994340752204,0.012545804226866788,0.017589816919873588,0.024275089930265545,0.03722408803492185,0.0339160616343584,0.02919020064619032,21.0,0.03722408803492185,nan
DistFromMA_20,0.016005981243824595,0.014536769556429234,0.016364813390339523,0.017743410621608065,0.018801350594403535,0.01827020512769069,0.02612270782223217,0.03678389535305714,0.023101853154810285,34.0,0.03678389535305714,11.853962271472229
RSI_14,0.017724251937767003,0.0163282140658328,0.016502936898023506,0.021153726958518932,0.02424836043829367,0.024800283005451017,0.03163377329066648,0.03657486267968859,0.02717676534997253,34.0,0.03657486267968859,nan
ElderRay_13,0.007681812995737712,0.008072582688334063,0.011882279960363557,0.014833032447697942,0.017249785584048712,0.016738616858754114,0.0232062912167501,0.033350678477170596,0.02146052193711761,34.0,0.033350678477170596,nan
PVT_20,-0.021289476577062493,-0.0200044134819777,-0.02149017631924459,-0.020778767463379012,-0.020041119861727765,-0.020708794267017588,-0.027592122798107337,-0.03310639379612365,-0.02215783964808313,34.0,-0.03310639379612365,nan
MeanRevScore,0.01867558490370983,0.016460933672731836,0.017460832179268675,0.018567666917447365,0.019697516036823817,0.019510268454008817,0.025745683775553543,0.03238138754313668,0.0213999334381657,34.0,0.03238138754313668,nan
HistVol_20,-0.0051717567733309214,-0.006310280315599376,-0.009883269939626405,-0.014789614026511551,-0.020715522670248905,-0.025344316125369592,-0.031863246346981844,-0.029741831261877943,-0.027172055915706837,21.0,-0.031863246346981844,nan
SqueezeMom,0.006898790213156943,0.009999677188345466,0.01109335347173736,0.011224300003688304,0.01219961068331869,0.014074132939481314,0.02730326631034533,0.031482194042980326,0.02363162581893245,34.0,0.031482194042980326,nan
