indicator,IC_trending,n_trending,ICIR_trending,IC_ranging,n_ranging,ICIR_ranging,IC_high_vol,n_high_vol,ICIR_high_vol,IC_low_vol,n_low_vol,ICIR_low_vol
NormATR_14,-0.011924256433628606,98477,-0.012971145623162142,-0.025963754574043277,78123,-0.07288161930371578,-0.018491007217755234,97145,-0.0016887323615665415,-0.008221018068788619,97200,-0.04680503975616674
UltimateOsc,0.02353466989034296,98477,0.6565278482437067,0.007966452212205861,78123,0.25652668652387794,0.009468844041535397,97145,0.694554113105508,0.029138033305850766,97200,0.6753566404967193
Bollinger_%B,0.023226244529109187,98477,0.5778819456235721,0.003215840543452183,78123,0.3572052113066843,0.013236816094479742,97145,0.6894946169865168,0.023144632065112997,97200,0.8468877733399486
DPO_20,0.02243645393312112,98477,1.0705685322370433,3.428464878554789e-05,78123,0.6439699753166989,0.017855591798179027,97145,0.9942875235179954,0.017125400889520796,97200,1.0484640861450445
Stochastic_14,0.02239763793351278,98477,0.8043183230608999,0.005295017196232438,78123,0.29930198915301176,0.01032093142004645,97145,0.8651951102585335,0.024244999004142294,97200,0.8521629018870311
Williams_R_14,0.022397452450887402,98477,0.8043140021258481,0.005295008249901424,78123,0.29930198915301176,0.010320766067513825,97145,0.8651908623102459,0.024244986495575195,97200,0.8521629018870311
HistVol_20,-0.010199814410421663,98477,0.01602180634498468,-0.022397022887401297,78123,-0.03634393138443773,-0.010127863756605151,97145,0.008649763054704272,-0.006972279390687661,97200,0.006120048559957498
CCI_20,0.022032228730226904,98477,0.525936830991489,-0.0024671221032992094,78123,0.31145576050655754,0.011348446094262374,97145,0.6435909384036622,0.01961053324957042,97200,0.7848332158571241
Aroon_25,0.021865701884637538,98477,0.5950649551530213,-0.008347026712318871,78123,0.24845142628991373,0.012955295126684231,97145,0.42720163993994226,0.010929539342133771,97200,0.44246969510445655
PVT_20,-0.0214663448626611,98477,-0.4413879547202465,-0.012244846537738508,78123,-0.292278929755294,-0.012623618019226932,97145,-0.48163091270205927,-0.027500319056768027,97200,-0.690683037476825
DistFromMA_20,0.021283541268200395,98477,0.8615709190497911,0.0015259193949849082,78123,0.4058246755408498,0.011440910153679651,97145,0.8635339596088873,0.0237095425074939,97200,0.9942769162764074
MeanRevScore,0.021168320397057544,98477,0.7138753373049901,0.002803274466410681,78123,0.4096542939344101,0.013659744063259854,97145,0.7872511698042612,0.022255308352529674,97200,0.9422442800387365
Fisher_10,0.021141165901848592,98477,0.7290160710706921,0.009037651622029933,78123,0.24720752207910418,0.009745639526117894,97145,0.7845887753031336,0.025098909444290697,97200,0.8032825709045393
PSAR,-0.0206846470567667,98477,-0.4815155080252264,-0.0017469761736807227,78123,-0.03249654769914013,-0.012359276058835864,97145,-0.44119942806485274,-0.014215637902880895,97200,-0.4434120720071211
PricePercentile,0.02054288640134466,98477,0.9017804606346498,0.00966970757684137,78123,0.7785705445645651,0.01803921728592049,97145,0.9720691933651262,0.021298477147849798,97200,1.0699494916251944
